sample_id,category,branch_used,is_dual,ground_truth,predicted,correct,used_fallback,vision_used,subset,config,error,subtype_used,initial_branch_used,vision_letter,vision_confidence,vision_triggered,vision_forced,vision_suppressed,viz_type,flags,expected_schema,predicted_value,numeric_quantity,numeric_note,rel_acc,evidence_json,qa_type,quality_score,propose_fired,propose_executed,propose_steps,propose_fallbacks,loop_used,loop_depth,refine_fired,refine_branches
16,seasonality analysis,periodicity,False,B,A,False,False,False,Base,baseline,,period_value,periodicity,,,False,,,,[],mcq,,,,,"{""branch"": ""periodicity"", ""dominant_period_fft"": 202.6, ""period_reconciled"": 202.6, ""seasonal_strength"": 0.826801}",a multiple choice question,,False,,,,,,False,
4,noise analysis,noise,False,A,A,True,False,True,Base,baseline,,variance_level,noise,D,high,True,,,spectrogram,"[""arch_effects""]",mcq,,,,,"{""branch"": ""noise"", ""is_stationary"": false, ""is_white_noise"": false, ""adf_pval"": 0.155646, ""kpss_pval"": 0.01, ""vision_confidence"": ""high""}",a multiple choice question,,False,,,,,,False,
15,noise analysis,noise,False,A,B,False,False,True,Base,baseline,,ar_ma_process,noise,B,high,True,,,spectrogram,"[""arch_effects""]",mcq,,,,,"{""branch"": ""noise"", ""is_stationary"": true, ""is_white_noise"": false, ""adf_pval"": 0.0, ""kpss_pval"": 0.1, ""vision_confidence"": ""high""}",a multiple choice question,,False,,,,,,False,
14,noise analysis,noise,False,C,B,False,False,True,Base,baseline,,ar_ma_process,noise,B,high,True,,,spectrogram,"[""arch_effects""]",mcq,,,,,"{""branch"": ""noise"", ""is_stationary"": false, ""is_white_noise"": false, ""adf_pval"": 0.224201, ""kpss_pval"": 0.01, ""vision_confidence"": ""high""}",a multiple choice question,,False,,,,,,False,
5,seasonality analysis,periodicity,False,B,D,False,False,True,Base,baseline,,waveform_type,periodicity,D,high,True,,,line_plot,[],mcq,,,,,"{""branch"": ""periodicity"", ""dominant_period_fft"": 405.6, ""period_reconciled"": 405.6, ""seasonal_strength"": 0.772112, ""vision_confidence"": ""high""}",a multiple choice question,,False,,,,,,False,
8,seasonality analysis,periodicity,False,A,A,True,False,True,Base,baseline,,waveform_type,periodicity,A,high,True,,,line_plot,[],mcq,,,,,"{""branch"": ""periodicity"", ""dominant_period_fft"": 60.0, ""period_reconciled"": 60.0, ""seasonal_strength"": 1.0, ""vision_confidence"": ""high""}",a multiple choice question,,False,,,,,,False,
9,trend analysis,trend,False,B,B,True,False,True,Base,baseline,,direction,trend,B,high,True,,,line_plot,"[""low_r2""]",mcq,,,,,"{""branch"": ""trend"", ""direction"": ""decreasing"", ""slope"": -0.649399, ""r2"": 0.601444, ""vision_confidence"": ""high""}",a multiple choice question,,False,,,,,,False,
6,trend analysis,trend,False,C,C,True,False,True,Base,baseline,,direction,trend,A,high,True,,,line_plot,"[""low_r2""]",mcq,,,,,"{""branch"": ""trend"", ""direction"": ""increasing"", ""slope"": 0.021535, ""r2"": 0.492911, ""vision_confidence"": ""high""}",a multiple choice question,,False,,,,,,False,
13,trend analysis,noise,False,B,C,False,False,True,Base,baseline,,autocorr_value,noise,C,high,True,,,spectrogram,"[""arch_effects""]",mcq,,,,,"{""branch"": ""noise"", ""is_stationary"": true, ""is_white_noise"": false, ""adf_pval"": 0.020621, ""kpss_pval"": 0.1, ""vision_confidence"": ""high""}",a multiple choice question,,False,,,,,,False,
7,noise analysis,noise,False,D,D,True,False,True,Base,baseline,,ar_ma_process,noise,D,high,True,,,spectrogram,"[""arch_effects""]",mcq,,,,,"{""branch"": ""noise"", ""is_stationary"": false, ""is_white_noise"": false, ""adf_pval"": 1.0, ""kpss_pval"": 0.01, ""vision_confidence"": ""high""}",a multiple choice question,,False,,,,,,False,
3,trend analysis,trend,False,C,C,True,False,True,Base,baseline,,direction,trend,C,high,True,,,line_plot,"[""low_r2""]",mcq,,,,,"{""branch"": ""trend"", ""direction"": ""decreasing"", ""slope"": -0.152562, ""r2"": 0.079063, ""vision_confidence"": ""high""}",a multiple choice question,,False,,,,,,False,
