sample_id,category,branch_used,is_dual,ground_truth,predicted,correct,used_fallback,vision_used,subset,config,error,subtype_used,initial_branch_used,vision_letter,vision_confidence,vision_triggered,vision_forced,vision_suppressed,viz_type,flags,expected_schema,predicted_value,numeric_quantity,numeric_note,rel_acc,evidence_json,qa_type,quality_score,propose_fired,propose_executed,propose_steps,propose_fallbacks,loop_used,loop_depth,refine_fired,refine_branches
4,noise analysis,llm_only,False,A,C,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
8,seasonality analysis,llm_only,False,A,B,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
2,seasonality analysis,llm_only,False,B,B,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
5,seasonality analysis,llm_only,False,B,B,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
1,trend analysis,llm_only,False,A,,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
3,trend analysis,llm_only,False,C,C,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
6,trend analysis,llm_only,False,C,C,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
7,noise analysis,llm_only,False,D,D,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
9,trend analysis,llm_only,False,B,C,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
10,noise analysis,llm_only,False,C,C,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
14,noise analysis,llm_only,False,C,D,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
12,seasonality analysis,llm_only,False,A,D,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
15,noise analysis,llm_only,False,A,D,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
17,seasonality analysis,llm_only,False,C,B,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
11,seasonality analysis,llm_only,False,D,D,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
13,trend analysis,llm_only,False,B,,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
16,seasonality analysis,llm_only,False,B,D,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
19,trend analysis,llm_only,False,A,,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
20,noise analysis,llm_only,False,B,D,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
21,seasonality analysis,llm_only,False,C,B,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
18,seasonality analysis,llm_only,False,D,D,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
23,seasonality analysis,llm_only,False,B,B,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
24,seasonality analysis,llm_only,False,C,B,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
25,noise analysis,llm_only,False,D,C,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
26,seasonality analysis,llm_only,False,A,B,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
27,seasonality analysis,llm_only,False,B,B,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
32,seasonality analysis,llm_only,False,C,B,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
29,noise analysis,llm_only,False,D,C,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
22,trend analysis,llm_only,False,A,,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
30,seasonality analysis,llm_only,False,A,D,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
28,trend analysis,llm_only,False,C,C,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
31,seasonality analysis,llm_only,False,B,D,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
35,trend analysis,llm_only,False,C,,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
33,trend analysis,llm_only,False,A,C,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
37,trend analysis,llm_only,False,B,C,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
36,trend analysis,llm_only,False,A,C,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
41,seasonality analysis,llm_only,False,B,B,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
40,noise analysis,llm_only,False,A,C,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
44,noise analysis,llm_only,False,A,C,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
39,seasonality analysis,llm_only,False,D,B,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
34,noise analysis,llm_only,False,B,D,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
43,seasonality analysis,llm_only,False,D,D,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
45,trend analysis,llm_only,False,B,C,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
38,trend analysis,llm_only,False,C,C,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
47,seasonality analysis,llm_only,False,D,B,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
50,seasonality analysis,llm_only,False,C,B,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
42,trend analysis,llm_only,False,C,C,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
49,trend analysis,llm_only,False,B,,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
46,seasonality analysis,llm_only,False,C,D,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
48,seasonality analysis,llm_only,False,A,B,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
54,seasonality analysis,llm_only,False,D,D,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
51,seasonality analysis,llm_only,False,A,B,False,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
52,seasonality analysis,llm_only,False,B,B,True,False,False,Base,llm_numeric,,,llm_only,,,,,,,[],mcq,,,,,{},a multiple choice question,,False,,,,,,False,
